"A,V,L","A,V","A,L","V,L",A,V,L,actual
0.4373769164085388,0.25080129504203796,0.4373769164085388,0.46675439924001694,0.25080129504203796,0.40387868881225586,0.5182689037173986,0.5
0.4451165050268173,0.1891508400440216,0.4451165050268173,0.46552395820617676,0.1891508400440216,0.37634187936782837,0.5173305403441191,0.4836999997496605
0.47916814871132374,0.15174001455307007,0.47916814871132374,0.5013921242207289,0.15174001455307007,0.41697580367326736,0.5260983817279339,0.4479999989271164
0.4771494846791029,0.127653568983078,0.4771494846791029,0.4722438361495733,0.127653568983078,0.35816410183906555,0.5247709173709154,0.4479999989271164
0.46369899809360504,0.11502525210380554,0.46369899809360504,0.47759310342371464,0.11502525210380554,0.35003870725631714,0.529962569475174,0.4479999989271164
0.47299417667090893,0.10580000281333923,0.47299417667090893,0.46550580114126205,0.10580000281333923,0.34428533911705017,0.5219260137528181,0.4479999989271164
0.47381780855357647,0.10070636868476868,0.47381780855357647,0.49676775373518467,0.10070636868476868,0.37532997131347656,0.5260374769568443,0.4479999989271164
0.45371832698583603,0.09466445446014404,0.45371832698583603,0.5191315989941359,0.09466445446014404,0.4381512254476547,0.5136655606329441,0.4479999989271164
0.449112132191658,0.09268507361412048,0.449112132191658,0.5177523624151945,0.09268507361412048,0.44726575911045074,0.5210002232342958,0.4479999989271164
0.3769208639860153,0.09425625205039978,0.3769208639860153,0.49141344986855984,0.09425625205039978,0.4528113901615143,0.4924804996699095,0.39490000158548355
0.363512322306633,0.09453710913658142,0.363512322306633,0.5250593032687902,0.09453710913658142,0.4664321318268776,0.5106738060712814,0.3122999966144562
0.301387682557106,0.09611907601356506,0.301387682557106,0.5265160165727139,0.09611907601356506,0.49897601641714573,0.4813392888754606,0.28200000524520874
0.28716379404067993,0.09528231620788574,0.28716379404067993,0.4876742195338011,0.09528231620788574,0.4388302117586136,0.48354686982929707,0.28200000524520874
0.2582840323448181,0.09915915131568909,0.2582840323448181,0.5551421940326691,0.09915915131568909,0.5370192117989063,0.4711639117449522,0.28200000524520874
0.20704016089439392,0.1061164140701294,0.20704016089439392,0.5175037886947393,0.1061164140701294,0.5102435778826475,0.4602392315864563,0.2376999855041504
0.18580910563468933,0.12228542566299438,0.18580910563468933,0.5378467366099358,0.12228542566299438,0.5353414118289948,0.4557146728038788,0.22499999403953552
0.1878712773323059,0.13371223211288452,0.1878712773323059,0.49419367499649525,0.13371223211288452,0.4965361077338457,0.4529847875237465,0.22499999403953552
0.2523993253707886,0.1591203808784485,0.2523993253707886,0.5457251593470573,0.1591203808784485,0.5344208441674709,0.47270811535418034,0.25200000405311584
0.30337268114089966,0.19725435972213745,0.30337268114089966,0.493378097191453,0.19725435972213745,0.4717411044985056,0.47184439562261105,0.3613999933004379
